Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Bagas,L,Gresik,13,5,80,80,90,95,80,95,85,75,85,75,80,80,75,80,100,100,95,85,16,160061,208
Dito,L,Surabaya,13,2,75,85,85,100,90,85,80,95,95,90,90,85,75,100,90,95,100,90,15,160062,208
Fajar,L,Gresik,13,2,100,95,90,80,85,90,80,90,95,75,80,75,95,90,75,75,80,85,16,160063,208
Ilham,L,Surabaya,13,3,85,80,90,95,85,100,95,85,80,85,85,95,75,95,80,95,85,80,16,160064,208
Iqbal,L,Gresik,13,5,85,85,80,85,80,90,95,90,95,80,95,80,80,85,95,85,80,85,16,160065,208
Ivan,L,Surabaya,14,5,75,90,95,85,80,75,85,90,85,75,90,85,95,100,85,80,80,80,16,160066,208
Jaya,L,Surabaya,12,5,90,90,80,95,85,90,80,85,90,100,90,90,100,85,100,100,100,95,16,160067,208
Joko,L,Surabaya,13,4,85,95,95,75,90,80,85,80,85,90,85,100,75,90,90,95,85,90,14,160068,208
Kurniawan,L,Surabaya,14,3,90,100,80,80,85,80,75,90,95,80,85,80,95,100,100,75,80,90,14,160069,208
Leo,L,Gresik,13,5,85,90,85,95,80,100,90,95,90,95,80,95,80,100,80,80,85,80,14,160070,208
Lukman,L,Malang,13,2,90,100,75,85,90,75,85,100,75,90,85,80,90,80,100,80,90,100,16,160071,208
Malik,L,Malang,13,2,100,80,85,95,85,100,100,80,90,95,80,90,100,95,80,95,90,80,15,160072,208
Melati,P,Gresik,13,5,90,95,90,75,80,80,85,75,75,100,100,85,75,95,75,90,85,85,16,160073,208
Melly,P,Surabaya,13,4,85,90,75,80,100,85,90,95,100,85,85,75,100,85,85,100,80,95,16,160074,208
Nizar,L,Malang,13,3,85,100,95,85,90,95,100,75,90,90,75,95,80,90,75,85,95,100,13,160075,208
Novan,L,Sidoarjo,12,2,90,85,90,75,80,95,85,85,90,90,85,90,85,75,80,90,85,80,16,160076,208
Oka,L,Surabaya,12,3,100,90,90,85,80,95,75,95,95,100,85,90,90,75,95,75,80,90,16,160077,208
Oki,L,Surabaya,13,2,95,80,95,90,75,90,90,75,95,85,95,100,80,80,75,80,80,85,14,160078,208
Ola,P,Surabaya,12,2,100,75,80,85,100,85,95,95,90,95,85,80,90,100,85,80,75,75,16,160079,208
Oskar,L,Gresik,14,3,90,75,80,75,95,100,100,90,95,85,95,95,100,90,85,95,80,85,15,160080,208
Pertiwi,P,Malang,13,3,95,90,85,100,95,100,85,80,75,100,95,85,85,75,95,95,75,80,16,160081,208
Putra,L,Surabaya,12,2,75,90,90,95,95,85,90,95,90,85,95,85,95,85,80,85,90,90,16,160082,208
Putri,P,Surabaya,13,5,85,85,90,100,100,80,100,90,75,85,80,75,90,100,75,95,90,85,15,160083,208
Qory,P,Sidoarjo,13,5,75,95,85,100,85,95,90,95,90,80,80,90,75,80,100,95,100,85,16,160084,208
Rizky,L,Gresik,13,3,100,75,75,75,80,95,85,100,95,95,85,95,100,100,85,90,75,85,16,160085,208
Syam,L,Malang,13,2,85,100,75,95,80,85,90,95,85,80,85,80,80,85,95,75,90,85,16,160086,208
Umar,L,Sidoarjo,14,2,85,95,90,100,95,95,90,80,80,85,85,80,90,90,90,100,80,90,13,160087,208
Verdi,L,Gresik,13,4,75,100,80,95,85,100,85,80,95,85,85,85,90,90,100,90,75,85,15,160088,208
Yosi,P,Surabaya,13,3,80,95,85,100,95,90,90,95,85,90,80,90,75,90,85,95,95,95,14,160089,208
Zulaikha,P,Malang,13,3,100,95,85,100,85,90,100,100,90,90,90,95,90,80,85,90,100,75,16,160090,208
