Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Chiko,L,Malang,13,4,85,85,100,100,75,75,90,90,75,90,95,85,100,90,100,95,90,85,16,160091,108
Deni,L,Malang,13,4,75,75,90,95,85,80,100,85,80,80,85,85,85,100,95,85,90,80,16,160092,108
Eko,L,Surabaya,13,3,90,90,95,75,80,100,90,80,80,80,95,95,95,85,100,100,80,85,14,160093,108
Galuh,P,Surabaya,13,4,100,90,95,95,95,80,85,85,95,95,85,80,90,80,85,95,95,100,14,160094,108
Gibran,L,Surabaya,12,3,100,90,90,75,95,95,95,75,100,100,90,100,95,80,90,75,85,80,16,160095,108
Githa,P,Sidoarjo,12,5,80,75,90,80,95,80,80,95,80,80,95,80,90,80,80,90,75,80,14,160096,108
Hani,P,Malang,13,2,85,75,90,90,80,85,80,90,75,85,85,80,75,95,80,80,90,80,15,160097,108
Hilda,P,Sidoarjo,13,3,85,95,95,95,80,90,95,80,95,85,80,75,90,100,75,90,80,85,13,160098,108
Jaya,L,Surabaya,13,3,85,90,100,100,90,85,95,85,95,90,75,90,90,75,85,90,95,80,16,160099,108
Kasih,P,Surabaya,13,5,80,95,85,85,80,80,80,85,95,100,80,95,80,80,95,100,80,95,16,160100,108
Krisna,L,Malang,13,2,90,90,80,100,80,90,95,85,100,85,95,85,100,75,95,95,95,75,13,160101,108
Leni,P,Gresik,13,4,90,95,75,95,80,80,85,75,75,100,75,80,100,90,85,75,85,75,15,160102,108
Lestari,P,Surabaya,12,5,75,90,75,100,90,95,75,100,95,80,80,75,75,80,80,95,90,80,16,160103,108
Luki,L,Jakarta,13,3,90,75,90,80,100,75,80,90,75,100,100,80,95,95,100,90,85,80,15,160104,108
Mustofa,L,Surabaya,12,2,85,80,80,75,80,90,80,80,100,85,90,95,90,95,85,90,90,75,14,160105,108
Nanda,P,Surabaya,14,4,90,100,85,95,90,80,95,95,75,90,85,95,90,75,80,80,85,90,15,160106,108
Naufal,L,Surabaya,13,2,75,75,95,80,90,95,95,90,80,90,80,80,100,90,85,100,95,75,16,160107,108
Oktavia,P,Sidoarjo,13,4,85,100,75,75,85,90,100,85,85,95,95,95,90,90,95,75,90,90,13,160108,108
Olivia,P,Malang,13,4,85,85,80,90,90,75,100,85,95,95,90,80,95,95,95,90,85,80,14,160109,108
Qori,L,Surabaya,14,5,80,85,90,75,90,80,95,85,95,80,85,85,80,85,85,75,100,80,16,160110,108
Raditya,L,Surabaya,13,2,80,90,75,75,90,100,80,80,85,100,75,75,90,85,85,80,95,75,16,160111,108
Rifqi,L,Jakarta,13,2,90,85,80,95,80,85,80,75,85,80,85,80,90,90,85,75,85,95,16,160112,108
Syafiq,L,Surabaya,14,4,85,75,95,85,100,95,100,75,75,80,75,75,95,90,95,75,100,90,13,160113,108
Ully,P,Surabaya,13,3,80,90,95,90,90,95,90,95,95,85,90,95,80,75,85,75,90,75,14,160114,108
Umi,P,Malang,13,4,75,85,95,75,85,100,80,95,100,80,90,95,90,85,80,75,95,95,16,160115,108
Victor,L,Sidoarjo,13,5,80,90,85,75,75,80,100,90,85,85,85,90,80,80,80,95,90,100,16,160116,108
Viona,P,Sidoarjo,13,5,80,90,90,100,80,100,75,90,75,80,85,80,90,85,85,90,85,95,15,160117,108
Wahyu,L,Surabaya,13,2,95,75,85,80,95,100,80,95,90,90,100,80,85,85,95,95,80,75,16,160118,108
Yanti,P,Malang,13,4,90,90,95,75,75,100,95,75,95,80,85,80,75,95,90,90,80,100,16,160119,108
Zaky,L,Malang,13,3,75,90,90,75,85,80,75,90,85,95,95,75,85,80,95,85,75,75,14,160120,108
