Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Ayu,P,Malang,13,5,95,95,80,100,90,100,85,85,85,85,95,95,95,95,95,90,95,90,13,160181,210
Bintang,L,Surabaya,12,2,80,80,95,95,85,90,80,90,85,85,95,85,80,95,95,90,80,100,16,160182,210
Bulan,P,Sidoarjo,13,4,85,95,75,85,75,90,80,85,95,95,85,95,80,95,95,90,90,80,16,160183,210
Bunga,P,Surabaya,13,3,95,90,80,90,75,95,90,90,100,75,100,85,90,95,80,100,90,75,14,160184,210
Edi,L,Surabaya,12,3,80,90,75,90,80,85,75,100,80,100,85,95,80,90,100,95,80,80,16,160185,210
Elok,P,Malang,13,2,75,90,95,85,100,95,85,75,100,90,95,95,90,80,90,80,100,95,15,160186,210
Erni,P,Gresik,12,4,90,85,95,85,80,85,95,90,85,100,95,95,85,95,85,90,85,75,14,160187,210
Fadhil,L,Surabaya,12,5,85,90,80,90,90,100,85,95,75,85,95,85,90,100,85,100,95,100,15,160188,210
Fitri,P,Gresik,13,3,80,75,90,75,80,95,100,95,95,100,95,80,95,85,90,100,75,75,15,160189,210
Gilang,L,Surabaya,13,3,100,75,80,95,75,90,100,75,75,100,95,85,80,100,100,95,75,90,16,160190,210
Gisel,P,Surabaya,12,3,85,85,90,100,80,85,95,90,100,85,90,80,100,80,85,75,85,90,13,160191,210
Hadi,L,Surabaya,12,2,80,75,100,75,80,85,75,95,90,90,85,100,80,100,75,95,95,85,15,160192,210
Hani,P,Malang,13,3,95,95,95,95,75,75,95,90,90,90,75,90,90,85,100,95,80,100,15,160193,210
Joni,L,Jakarta,13,5,100,75,90,85,80,75,85,90,95,80,100,95,85,95,85,100,80,90,14,160194,210
Maya,P,Surabaya,13,4,85,100,95,75,80,100,90,75,95,85,90,100,85,75,85,80,95,80,14,160195,210
Nando,L,Gresik,13,3,80,75,95,85,100,85,85,90,85,100,100,85,90,90,75,80,80,90,15,160196,210
Oktarina,P,Gresik,12,3,95,100,75,90,75,85,100,85,100,80,80,95,95,75,100,90,95,95,14,160197,210
Oktavian,L,Surabaya,12,5,90,75,100,85,100,95,95,95,75,75,75,75,90,95,90,100,90,95,16,160198,210
Olla,P,Surabaya,12,5,95,85,75,95,95,100,90,85,90,95,100,90,85,90,100,80,90,95,16,160199,210
Prita,P,Gresik,13,2,85,100,90,80,75,100,75,80,75,95,90,75,85,95,85,85,90,75,14,160200,210
Puspa,P,Surabaya,14,3,75,95,85,100,90,85,85,90,80,100,90,85,95,100,90,90,90,85,15,160201,210
Rizwan,L,Surabaya,13,3,80,85,90,100,75,100,90,95,75,90,80,85,100,80,95,90,85,90,16,160202,210
Taufik,L,Surabaya,13,3,95,85,90,90,85,75,85,90,90,100,90,100,85,90,95,80,75,85,16,160203,210
Tuti,P,Surabaya,13,5,85,100,85,100,90,80,85,80,95,95,95,90,75,100,100,95,75,80,16,160204,210
Umar,L,Malang,13,3,100,95,95,100,100,95,85,85,80,95,90,80,90,85,80,100,75,95,14,160205,210
Vini,P,Sidoarjo,13,2,95,95,80,85,90,80,90,95,85,80,95,85,95,85,80,95,95,75,16,160206,210
Vino,L,Surabaya,13,5,90,85,95,85,90,75,90,75,85,90,85,85,75,80,80,85,100,90,14,160207,210
Widya,P,Surabaya,12,4,90,90,85,90,85,85,100,90,90,90,90,95,75,85,85,75,80,100,16,160208,210
Yasmin,P,Sidoarjo,13,2,85,85,90,75,90,85,100,80,90,80,100,85,100,75,85,80,85,95,16,160209,210
Yola,P,Malang,13,4,100,95,100,95,80,85,75,90,90,100,95,95,95,90,80,95,95,80,13,160210,210
