Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Bima,L,Surabaya,13,4,75,100,90,95,90,95,80,100,85,85,90,85,75,80,100,75,75,85,13,160211,204
Candra,L,Sidoarjo,13,2,95,85,95,85,90,80,100,85,90,75,95,100,85,95,95,80,80,95,14,160212,204
Cempaka,P,Surabaya,13,4,95,100,85,90,75,90,75,95,80,95,85,80,85,100,90,80,95,80,15,160213,204
Cici,P,Malang,12,3,85,85,90,85,80,80,80,85,90,80,85,80,95,95,75,90,95,90,13,160214,204
Cindy,P,Gresik,13,2,100,85,85,75,85,90,90,95,85,80,80,95,90,100,100,90,90,75,16,160215,204
Daffa,L,Malang,13,3,90,90,90,100,80,90,85,90,80,85,90,80,90,75,80,80,95,80,16,160216,204
Faisal,L,Surabaya,12,5,85,100,95,75,85,95,85,85,90,75,95,95,75,95,75,95,75,90,15,160217,204
Fira,P,Sidoarjo,13,2,100,75,80,100,95,100,85,100,90,80,80,75,75,95,80,95,100,90,16,160218,204
Fitria,P,Gresik,12,5,85,95,90,100,90,75,95,85,100,80,90,90,85,90,85,85,95,95,15,160219,204
Galih,L,Surabaya,14,4,95,95,100,80,85,85,95,80,95,80,80,80,75,80,90,85,95,90,16,160220,204
Genta,L,Surabaya,13,5,95,95,80,80,75,95,80,90,75,85,90,95,85,90,85,95,90,80,16,160221,204
Gisel,P,Surabaya,14,3,80,80,95,85,90,85,85,85,80,90,100,85,75,85,80,85,85,80,16,160222,204
Hani,P,Surabaya,13,4,80,75,80,90,95,95,85,85,80,85,100,80,90,90,100,75,75,80,16,160223,204
Indah,P,Sidoarjo,13,4,75,80,85,75,95,90,85,85,85,80,95,85,75,95,85,100,85,80,14,160224,204
Ines,P,Surabaya,13,4,80,85,95,80,85,95,100,80,85,90,100,95,75,95,95,75,85,85,16,160225,204
Juni,P,Jakarta,13,2,75,80,95,90,95,75,90,90,90,95,90,80,95,100,95,85,90,90,16,160226,204
Kamila,P,Surabaya,13,5,95,80,85,90,95,100,80,80,80,80,95,80,85,85,100,95,100,85,13,160227,204
Laila,P,Sidoarjo,13,5,85,85,85,80,95,90,90,90,85,80,85,100,75,85,95,100,85,95,16,160228,204
Lili,P,Surabaya,12,5,75,100,75,80,95,90,85,80,100,80,80,75,80,95,100,75,100,85,14,160229,204
Miko,L,Surabaya,14,3,95,100,100,90,85,95,100,85,100,95,75,85,85,100,85,85,75,85,13,160230,204
Nila,P,Surabaya,12,3,95,95,90,80,75,90,85,90,90,75,90,85,95,90,100,100,100,95,14,160231,204
Nina,P,Sidoarjo,12,2,95,90,80,80,75,75,90,90,80,90,90,75,100,95,95,85,85,95,16,160232,204
Riri,P,Surabaya,12,4,95,80,80,90,95,95,80,85,90,100,90,95,90,85,100,95,95,95,16,160233,204
Selvi,P,Surabaya,13,2,75,80,85,85,75,85,90,85,85,80,100,90,85,80,80,95,85,85,16,160234,204
Surya,L,Sidoarjo,13,4,80,80,80,75,100,100,95,75,90,75,85,100,90,80,100,95,100,90,16,160235,204
Syahrul,L,Gresik,13,5,95,90,90,85,90,95,95,95,80,75,95,80,75,95,95,85,75,95,13,160236,204
Titi,P,Surabaya,14,2,95,75,95,85,95,80,95,95,80,95,95,75,75,75,95,80,95,80,16,160237,204
Uli,P,Surabaya,12,4,80,95,80,80,75,90,80,95,95,95,90,90,90,85,75,75,75,95,16,160238,204
Wawan,L,Surabaya,13,4,85,95,95,95,85,90,75,95,85,80,80,75,85,95,80,90,80,75,16,160239,204
Wenny,P,Surabaya,14,5,95,95,80,100,75,85,85,85,95,75,95,85,95,85,90,90,85,100,13,160240,204
