Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Anita,P,Sidoarjo,15,4,85,75,90,90,90,90,85,85,90,90,80,90,85,80,80,90,85,90,16,160031,209
Bella,P,Surabaya,14,5,95,85,80,85,100,90,80,95,95,85,75,90,95,90,95,95,95,90,16,160032,209
Cakra,L,Surabaya,14,2,95,85,90,85,90,100,90,75,95,90,100,80,90,75,85,90,95,95,16,160033,209
Citra,P,Gresik,15,3,95,95,95,95,75,85,90,90,95,90,95,90,90,95,75,90,100,95,13,160034,209
Citra,P,Malang,14,2,90,100,95,95,95,80,80,95,80,85,85,90,100,80,80,90,95,85,16,160035,209
Desi,P,Jakarta,14,5,80,75,100,95,75,90,95,90,95,95,90,100,95,95,75,85,85,75,16,160036,209
Diah,P,Surabaya,15,4,75,90,80,85,80,80,100,95,95,90,90,100,95,85,75,85,80,90,14,160037,209
Fani,P,Surabaya,15,4,100,90,95,95,75,75,75,90,95,95,95,95,100,85,80,95,90,80,16,160038,209
Farhan,L,Gresik,15,2,80,75,80,80,80,95,90,75,85,85,80,100,80,100,95,95,85,85,15,160039,209
Fikri,L,Gresik,15,3,75,95,95,100,85,90,95,100,80,100,90,100,95,85,80,85,80,80,14,160040,209
Hanif,L,Malang,15,3,90,85,75,80,100,90,95,85,75,90,80,90,80,95,90,100,85,80,14,160041,209
Indra,L,Surabaya,15,2,90,85,75,95,75,75,90,80,90,80,80,85,90,85,75,90,100,80,15,160042,209
Intan,P,Malang,15,2,95,85,85,90,85,90,85,85,75,95,90,90,90,85,80,100,90,90,16,160043,209
Irfan,L,Gresik,15,4,80,85,75,75,80,75,100,100,85,90,95,95,85,85,85,90,100,80,16,160044,209
Kunto,L,Malang,15,5,80,95,75,90,80,80,95,90,75,80,90,90,90,95,90,85,75,80,14,160045,209
Laksamana,L,Gresik,14,3,95,85,85,90,90,80,95,80,85,80,95,100,75,100,80,75,85,90,15,160046,209
Mita,P,Surabaya,14,5,85,75,95,95,80,90,95,90,80,90,100,75,85,80,85,85,85,85,16,160047,209
Nia,P,Surabaya,16,4,90,80,95,75,75,85,85,90,90,95,75,80,100,80,100,80,95,90,16,160048,209
Opan,L,Surabaya,14,5,75,80,80,95,80,75,95,95,90,100,95,100,85,90,100,80,95,85,14,160049,209
Prasetyo,L,Surabaya,15,2,85,75,80,85,100,85,100,75,75,75,80,85,95,100,100,95,95,90,14,160050,209
Qori,L,Surabaya,14,3,95,100,100,85,80,85,85,85,85,80,80,90,90,90,85,80,85,85,14,160051,209
Satria,L,Surabaya,15,3,95,100,80,90,100,80,85,100,95,80,100,80,80,90,95,85,85,95,14,160052,209
Tama,L,Malang,15,5,100,75,85,75,80,80,85,100,80,75,95,90,80,85,80,90,85,100,16,160053,209
Tania,P,Malang,15,3,85,90,80,75,80,95,80,75,95,75,85,75,80,85,80,75,90,80,13,160054,209
Toni,L,Jakarta,14,3,90,85,95,90,80,100,95,95,85,80,100,90,100,85,90,95,80,75,15,160055,209
Usman,L,Gresik,14,5,95,100,85,95,100,90,75,75,75,95,100,90,100,80,100,90,90,85,13,160056,209
Utari,P,Surabaya,15,2,90,75,95,90,90,90,85,90,90,80,90,100,90,100,90,80,75,85,15,160057,209
Vira,P,Malang,15,3,100,85,90,90,95,95,100,95,75,80,95,85,95,90,80,80,90,100,16,160058,209
Wira,L,Malang,15,3,80,90,100,75,95,90,100,95,95,90,90,90,90,75,85,85,80,95,15,160059,209
Zaki,L,Surabaya,15,5,90,85,95,90,75,95,85,90,95,80,80,90,85,80,90,85,85,75,16,160060,209
