Nama,Gender,Kota,Usia,Jarak,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11,PM12,PM13,PM14,PM15,PM16,UTS,UAS,TotalHadir,Id,Kodemapel
Aldi,L,Surabaya,13,3,51,40,53,41,42,43,50,40,56,45,42,53,58,42,52,50,50,54,16,160121,206
Alvin,L,Surabaya,14,2,54,45,56,46,51,53,56,46,42,48,52,46,51,41,44,54,40,60,15,160122,206
Arini,P,Surabaya,12,5,52,59,52,58,42,59,54,49,54,49,54,59,48,50,48,60,57,51,15,160123,206
Desy,P,Surabaya,13,4,41,44,54,48,49,49,55,43,54,55,41,50,56,60,56,50,44,41,14,160124,206
Dewi,P,Sidoarjo,14,4,43,54,52,48,50,56,46,45,50,58,52,57,41,54,44,54,57,55,14,160125,206
Erlangga,L,Surabaya,13,5,55,58,57,45,53,43,45,60,57,52,46,42,49,46,45,54,56,49,16,160126,206
Erwin,L,Malang,13,5,51,47,51,55,56,60,46,40,52,42,41,60,59,44,50,46,42,55,16,160127,206
Hadi,L,Surabaya,13,4,58,47,58,46,60,41,45,58,59,44,59,57,44,51,59,49,48,60,14,160128,206
Hana,P,Jakarta,13,3,57,56,56,51,48,51,46,59,56,47,60,57,49,57,42,43,40,57,16,160129,206
Julia,P,Jakarta,13,3,49,42,43,41,51,44,60,48,45,47,59,52,40,60,41,59,59,47,14,160130,206
Karin,P,Surabaya,13,3,47,52,50,40,40,50,52,42,48,45,45,43,58,45,46,51,47,52,15,160131,206
Kartika,P,Sidoarjo,12,4,58,42,42,46,53,60,58,56,56,56,42,52,56,50,44,54,49,40,14,160132,206
Kusuma,L,Sidoarjo,13,4,58,49,48,59,40,48,58,48,50,44,48,51,56,40,44,40,55,49,13,160133,206
Lestari,P,Jakarta,12,5,46,57,50,42,41,45,49,44,54,41,40,43,56,58,54,57,57,50,14,160134,206
Mahesa,L,Surabaya,12,2,54,45,47,60,45,60,54,52,54,45,53,42,54,46,59,40,52,42,16,160135,206
Nanda,L,Surabaya,12,2,58,51,56,42,54,50,47,58,58,57,58,55,43,47,48,58,42,47,16,160136,206
Nuri,P,Surabaya,13,4,57,44,59,48,50,49,42,55,43,47,46,51,52,46,40,56,49,50,14,160137,206
Qila,P,Jakarta,14,2,53,56,59,49,52,44,46,54,60,59,47,49,60,47,60,55,53,52,15,160138,206
Shinta,P,Surabaya,12,4,58,49,41,41,52,44,60,40,52,51,54,56,59,56,59,48,57,41,14,160139,206
Tari,P,Surabaya,12,2,56,60,48,44,54,46,57,57,42,54,45,41,53,57,56,59,60,50,16,160140,206
Tegar,L,Malang,13,4,42,46,46,52,54,58,41,59,60,57,50,49,47,40,43,44,58,45,16,160141,206
Umar,L,Surabaya,12,4,41,59,42,45,48,41,44,45,57,45,56,50,60,57,55,49,40,47,14,160142,206
Vani,P,Sidoarjo,14,3,47,43,44,43,47,53,55,46,52,55,53,45,45,51,49,58,43,54,14,160143,206
Vian,L,Surabaya,12,3,56,46,44,53,44,60,47,45,44,58,60,55,51,47,49,49,42,52,16,160144,206
Vito,L,Surabaya,13,2,46,43,43,50,57,41,52,52,42,41,40,47,56,44,53,45,47,58,14,160145,206
Wahyu,L,Surabaya,13,5,59,42,41,40,46,41,43,54,46,45,53,41,54,55,45,40,48,51,16,160146,206
Yuni,P,Surabaya,13,2,45,59,57,44,59,41,58,56,57,56,48,52,49,44,44,45,40,57,13,160147,206
Zahra,P,Surabaya,12,4,51,58,54,50,46,51,44,42,48,42,53,52,46,43,47,53,59,50,14,160148,206
Zeni,P,Surabaya,13,3,51,54,45,45,60,59,40,53,60,57,51,40,52,50,51,52,54,57,16,160149,206
Zita,P,Surabaya,13,3,58,53,40,45,54,58,43,59,46,50,60,54,60,43,60,44,45,50,15,160150,206
