Nama Guru,Asal,Pendidikan,Email,Mata Pelajaran,Kode Mapel,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,9a,9b,9c,9d,9e,9f,9g,9h
Dr. Anwar Setiawan. M.Pd.,Sidoarjo,S3 ,anwarsetia@gmail.com,Bahasa Indonesia,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Prof. Dr. Maria Anggraini. M.Hum.,Surabaya,S3 ,anggraenimaria@gmail.com,Bahasa Indonesia,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dwi Santoso. S.Pd.. M.Pd.,Surabaya,S2,dwisanto@gmail.com,Bahasa Indonesia,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Agus Prasetyo. S.Pd.. M.Pd.,Sidoarjo,S2,agus.prasetyo@gmail.com,Bahasa Jawa,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ratih Widyaningsih. S.S.. M.Si.,Surabaya,S2,ratih.widyaningsih@gmail.com,Bahasa Jawa,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Dr. Budi Hartono. M.Hum.,Sidoarjo,S3 ,budi.hartono@gmail.com,Bahasa Jawa,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Dr. Linda Permata. M.Ed.,Sidoarjo,S3 ,linda.permata@gmail.com,Bahasa Inggris,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
David Sugiharto. S.Pd.. M.A.,Sidoarjo,S2,david.sugiharto@gmail.com,Bahasa Inggris,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Prof. Dr. Anita Wijaya. M.A.,Surabaya,S3 ,anita.wijaya@gmail.com,Bahasa Inggris,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Dr. Rina Kusuma. M.Si.,Surabaya,S3 ,rina.kusuma@gmail.com,IPA,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Anton Wijaya. S.Pd.. M.Pd.,Bangkalan,S2,anton.wijaya@gmail.com,IPA,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Prof. Dr. Widodo. M.Si.,Bangkalan,S3 ,widodo12@gmail.com,IPA,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Dr. Hendra Nugroho. M.Si.,Surabaya,S3 ,hendra.nugroho@gmail.com,IPS,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Siti Aisyah. S.Pd.. M.Pd.,Sumenep,S2,siti.aisyah@gmail.com,IPS,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Prof. Dr. Rahmat Hidayat. M.Si.,Sidoarjo,S3,rahmat.hidayat@gmail.com,IPS,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Dr. Surya Darmawan. M.Sc.,Probolinggo,S3,surya.darmawan@gmail.com,Matematika,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Intan Lestari. S.Pd.. M.Pd.,Sidoarjo,S2,intan.lestari@gmail.com,Matematika,6,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Prof. Dr. Budi Santoso. M.Sc.,Surabaya,S3,budi.santoso@gmail.com,Matematika,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Dr. Putri Amelia. M.Si.,Surabaya,S3,putri.amelia@gmail.com,PKN,7,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Agus Wibowo, S.Pd.. M.Pd.",Surabaya,S2,agus.wibowo@gmail.com,PKN,7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Prof. Dr. Wahyu Kurniawan. M.Si.,Sidoarjo,S3,wahyu.kurniawan@gmail.com,PKN,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dr. Andi Setiawan. M.Pd.,Probolinggo,S3,andi.setiawan@gmail.com,PJOK,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
